[15:57:28] [INFO] received Windows console close event; shutting log-core down
[15:58:30] [INFO] received Windows console close event; shutting log-core down
[17:16:59] [INFO] received Windows console close event; shutting log-core down
[17:17:20] [INFO] received Windows console close event; shutting log-core down
[17:18:58] [INFO] received Windows console close event; shutting log-core down
[17:19:38] [INFO] received Windows console close event; shutting log-core down
[17:23:27] [INFO] received Windows console close event; shutting log-core down
[17:26:32] [INFO] received Windows console close event; shutting log-core down
[17:31:21] [INFO] received Windows console close event; shutting log-core down
[17:35:54] [INFO] received Windows console close event; shutting log-core down
[17:39:18] [INFO] received Windows console close event; shutting log-core down
[17:43:58] [INFO] received Windows console close event; shutting log-core down
[17:49:42] [INFO] received Windows console close event; shutting log-core down
[18:00:52] [INFO] received Windows console close event; shutting log-core down
[13:01:03] [INFO] received Windows console close event; shutting log-core down
[13:04:24] [INFO] received Windows console close event; shutting log-core down
[13:06:00] [INFO] received Windows console close event; shutting log-core down
[13:15:51] [INFO] received Windows console close event; shutting log-core down
[19:21:06] [INFO] received Windows console close event; shutting log-core down
[19:24:35] [INFO] received Windows console close event; shutting log-core down
[20:54:27] [INFO] received Windows console close event; shutting log-core down
[21:05:38] [INFO] received Windows console close event; shutting log-core down
[21:16:37] [INFO] received Windows console close event; shutting log-core down
[21:23:55] [INFO] received Windows console close event; shutting log-core down
[21:37:31] [INFO] received Windows console close event; shutting log-core down
[21:57:36] [INFO] received Windows console close event; shutting log-core down
[22:01:15] [INFO] received Windows console close event; shutting log-core down
[22:02:41] [INFO] received Windows console close event; shutting log-core down
[22:04:30] [INFO] received Windows console close event; shutting log-core down
[22:05:29] [INFO] received Windows console close event; shutting log-core down
[22:13:17] [INFO] received Windows console close event; shutting log-core down
[22:32:36] [INFO] received Windows console close event; shutting log-core down
[00:05:02] [INFO] received Windows console close event; shutting log-core down
[00:07:05] [INFO] received Windows console close event; shutting log-core down
[12:52:07] [INFO] received Windows console close event; shutting log-core down
[12:55:07] [INFO] received Windows console close event; shutting log-core down
[13:04:57] [INFO] received Windows console close event; shutting log-core down
[13:08:09] [INFO] received Windows console close event; shutting log-core down
[13:18:51] [INFO] received Windows console close event; shutting log-core down
[13:21:44] [INFO] received Windows console close event; shutting log-core down
[13:24:28] [INFO] received Windows console close event; shutting log-core down
[13:28:31] [INFO] received Windows console close event; shutting log-core down
[13:33:58] [INFO] received Windows console close event; shutting log-core down
[13:46:49] [INFO] received Windows console close event; shutting log-core down
[14:17:00] [INFO] received Windows console close event; shutting log-core down
[14:19:42] [INFO] received Windows console close event; shutting log-core down
[14:21:43] [INFO] received Windows console close event; shutting log-core down
[14:23:04] [INFO] received Windows console close event; shutting log-core down
[14:24:16] [INFO] received Windows console close event; shutting log-core down
[14:26:17] [INFO] received Windows console close event; shutting log-core down
[14:27:42] [INFO] received Windows console close event; shutting log-core down
[14:28:49] [INFO] received Windows console close event; shutting log-core down
[14:32:04] [INFO] received Windows console close event; shutting log-core down
[14:33:36] [INFO] received Windows console close event; shutting log-core down
[16:04:13] [INFO] received Windows console close event; shutting log-core down
[16:05:28] [INFO] received Windows console close event; shutting log-core down
[16:06:56] [INFO] received Windows console close event; shutting log-core down
[16:07:40] [INFO] received Windows console close event; shutting log-core down
[16:08:31] [INFO] received Windows console close event; shutting log-core down
[16:09:17] [INFO] received Windows console close event; shutting log-core down
[20:34:15] [INFO] received Windows console close event; shutting log-core down
[20:35:57] [INFO] received Windows console close event; shutting log-core down
[21:16:27] [INFO] received Windows console close event; shutting log-core down
[21:22:51] [INFO] received Windows console close event; shutting log-core down
[00:24:37] [INFO] received Windows console close event; shutting log-core down
[00:27:45] [INFO] received Windows console close event; shutting log-core down
[11:11:07] [INFO] received Windows console close event; shutting log-core down
[11:20:06] [INFO] received Windows console close event; shutting log-core down
[11:22:53] [INFO] received Windows console close event; shutting log-core down
[11:26:31] [INFO] received Windows console close event; shutting log-core down
[11:30:11] [INFO] received Windows console close event; shutting log-core down
[11:33:25] [INFO] received Windows console close event; shutting log-core down
[11:38:12] [INFO] received Windows console close event; shutting log-core down
[20:44:01] [INFO] received Windows console close event; shutting log-core down
[20:45:55] [INFO] received Windows console close event; shutting log-core down
[20:51:28] [INFO] received Windows console close event; shutting log-core down
[20:57:29] [INFO] received Windows console close event; shutting log-core down
[21:05:27] [INFO] received Windows console close event; shutting log-core down
[21:09:35] [INFO] received Windows console close event; shutting log-core down
[21:14:23] [INFO] received Windows console close event; shutting log-core down
[22:23:14] [INFO] received Windows console close event; shutting log-core down
[22:48:41] [INFO] received Windows console close event; shutting log-core down
[23:24:34] [INFO] received Windows console close event; shutting log-core down
[23:27:04] [INFO] received Windows console close event; shutting log-core down
[23:29:28] [INFO] received Windows console close event; shutting log-core down
[23:52:28] [INFO] received Windows console close event; shutting log-core down
[23:59:23] [INFO] received Windows console close event; shutting log-core down
[00:02:28] [INFO] received Windows console close event; shutting log-core down
[09:22:19] [INFO] received Windows console close event; shutting log-core down
[20:52:41] [INFO] received Windows console close event; shutting log-core down
[18:40:13] [INFO] received Windows console close event; shutting log-core down
[01:10:39] [INFO] received Windows console close event; shutting log-core down
[01:12:10] [INFO] received Windows console close event; shutting log-core down
[01:13:13] [INFO] received Windows console close event; shutting log-core down
[01:16:30] [INFO] received Windows console close event; shutting log-core down
[01:07:22] [INFO] received Windows console close event; shutting log-core down
[00:44:35] [INFO] received Windows console close event; shutting log-core down
[00:50:57] [INFO] received Windows console close event; shutting log-core down
[00:56:17] [INFO] received Windows console close event; shutting log-core down
[00:58:47] [INFO] received Windows console close event; shutting log-core down
[01:04:40] [INFO] received Windows console close event; shutting log-core down
[01:09:59] [INFO] received Windows console close event; shutting log-core down
[01:13:03] [INFO] received Windows console close event; shutting log-core down
[01:23:42] [INFO] received Windows console close event; shutting log-core down
[01:36:16] [INFO] received Windows console close event; shutting log-core down
[01:42:57] [INFO] received Windows console close event; shutting log-core down
[12:38:38] [INFO] received Windows console close event; shutting log-core down
[12:50:05] [INFO] received Windows console close event; shutting log-core down
[12:57:10] [INFO] received Windows console close event; shutting log-core down
[12:59:35] [INFO] received Windows console close event; shutting log-core down
[13:02:37] [INFO] received Windows console close event; shutting log-core down
[13:03:27] [INFO] received Windows console close event; shutting log-core down
[13:07:12] [INFO] received Windows console close event; shutting log-core down
[13:11:45] [INFO] received Windows console close event; shutting log-core down
[13:16:27] [INFO] received Windows console close event; shutting log-core down
[13:18:10] [INFO] received Windows console close event; shutting log-core down
[13:25:17] [INFO] received Windows console close event; shutting log-core down
[13:28:30] [INFO] received Windows console close event; shutting log-core down
[13:33:29] [INFO] received Windows console close event; shutting log-core down
[13:35:16] [INFO] received Windows console close event; shutting log-core down
[13:37:18] [INFO] received Windows console close event; shutting log-core down
[13:44:39] [INFO] received Windows console close event; shutting log-core down
[13:50:14] [INFO] received Windows console close event; shutting log-core down
[13:54:25] [INFO] received Windows console close event; shutting log-core down
[14:00:03] [INFO] received Windows console close event; shutting log-core down
[14:16:17] [INFO] received Windows console close event; shutting log-core down
[18:57:31] [INFO] received Windows console close event; shutting log-core down
[19:08:55] [INFO] received Windows console close event; shutting log-core down
[19:13:13] [INFO] received Windows console close event; shutting log-core down
[19:15:37] [INFO] received Windows console close event; shutting log-core down
[21:01:37] [INFO] received Windows console close event; shutting log-core down
[21:11:54] [INFO] received Windows console close event; shutting log-core down
[21:39:53] [INFO] received Windows console close event; shutting log-core down
[22:01:17] [INFO] received Windows console close event; shutting log-core down
[22:03:57] [INFO] received Windows console close event; shutting log-core down
[22:13:21] [INFO] received Windows console close event; shutting log-core down
[22:25:09] [INFO] received Windows console close event; shutting log-core down
[14:11:24] [INFO] received Windows console close event; shutting log-core down
[23:02:34] [INFO] received Windows console close event; shutting log-core down
